GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AGV001,AGV002,AGX001,AGZ001,AGZ002,AGZ003,AGZ004,AG2001,AG2002,AGQ001,AGU001
"G0100010","1860","Alabama","010","Autauga","0010","Autauga",2901285,125234,778906,16598,8620,47784,190636,1253618,238420,1492038,9607
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin",468090,20495,294470,3929,11330,1537,41326,208328,42863,251191,3714
"G0100050","1860","Alabama","010","Barbour","0050","Barbour",4960812,181321,1225193,6055,1915,18415,300878,2795392,319293,3114685,16150
"G0100070","1860","Alabama","010","Bibb","0070","Bibb",1442455,112325,608458,8933,12,35618,164367,712851,199985,912836,3842
"G0100090","1860","Alabama","010","Blount","0090","Blount",832500,54835,305025,3835,100,30280,79759,275823,110039,385862,666
"G0100130","1860","Alabama","010","Butler","0130","Butler",2950744,101432,746735,875,0,21214,172943,962479,194157,1156636,6818
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun",2709394,150088,812766,130,11,59202,220382,1056751,279584,1336335,4342
"G0100170","1860","Alabama","010","Chambers","0170","Chambers",3035933,216501,1132376,16805,0,9204,308711,1797647,317915,2115562,11849
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee",2979265,166508,739631,1031,58,65596,188137,968053,253733,1221786,3002
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw",2746506,112246,678377,5658,0,10619,127921,1128894,138540,1267434,7094
"G0100250","1860","Alabama","010","Clarke","0250","Clarke",3255548,143281,808820,70,10,26362,145588,1135015,171950,1306965,7436
"G0100310","1860","Alabama","010","Coffee","0310","Coffee",1004062,41228,392032,0,0,26236,104482,442577,130718,573295,1417
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh",1045700,73492,458986,3979,50,59085,107213,532063,166298,698361,4882
"G0100370","1860","Alabama","010","Coosa","0370","Coosa",1672376,146061,909070,19574,950,62884,248214,1133849,311098,1444947,5212
"G0100390","1860","Alabama","010","Covington","0390","Covington",538155,39266,324362,97,150,35458,96922,219683,132380,352063,821
"G0100450","1860","Alabama","010","Dale","0450","Dale",1431122,83868,550691,6337,0,70824,169395,620000,240219,860219,1809
"G0100470","1860","Alabama","010","Dallas","0470","Dallas",9311714,245541,1716129,1253,2520,8372,332596,3867186,340968,4208154,25760
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb",1100609,74053,496116,588,0,85433,126659,402399,212092,614491,848
"G0100570","1860","Alabama","010","Fayette","0570","Fayette",739641,96246,501713,3503,165,93100,130276,542460,223376,765836,1703
"G0100590","1860","Alabama","010","Franklin","0590","Franklin",4096733,140228,838487,649,550,76502,259303,1198311,335805,1534116,8495
"G0100630","1860","Alabama","010","Greene","0630","Greene",9176802,259471,1746454,4925,100,12894,324828,3603507,337722,3941229,23598
"G0100670","1860","Alabama","010","Henry","0670","Henry",2154860,99118,621480,100,0,24892,217648,953163,242540,1195703,4433
"G0100710","1860","Alabama","010","Jackson","0710","Jackson",3121085,98255,837307,393,0,85995,220584,711066,306579,1017645,3405
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson",1219865,95261,552095,2915,0,51155,130861,629572,182016,811588,2649
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale",4554063,154512,845171,3944,16725,22833,164482,973653,187315,1160968,6737
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence",2996285,91730,768543,200,100,18263,160823,1135398,179086,1314484,6788
"G0100830","1860","Alabama","010","Limestone","0830","Limestone",3592495,114529,718902,500,400,16551,173593,1090197,190144,1280341,8085
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes",9040470,405489,1661362,24,0,6709,319844,3369057,326553,3695610,19340
"G0100870","1860","Alabama","010","Macon","0870","Macon",5825099,152394,1291568,140,392,11333,269665,2689006,280998,2970004,18176
"G0100890","1860","Alabama","010","Madison","0890","Madison",6078806,184277,1107685,2102,1898,65305,222761,1728366,288066,2016432,14573
"G0100910","1860","Alabama","010","Marengo","0910","Marengo",10291862,301473,1699142,2427,0,42251,368051,3811380,410302,4221682,24409
