GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AG3001,AH5001,AH5002,AH5003,AH5004,AH5005,AH5006,AG7001,AG7002,AG7003,AG7004,AG8001,AG8002,AG8003,AG8004,AG8005,AG8006,AG8007,AHV001,AHV002,AHV003,AHV004,AHV005,AHV006,AHV007,AHV008,AHV009,AHV010,AHV011,AHV012,AHV013,AHV014,AHV015,AHV016,AHV017,AHV018,AHV019,AHV020,AHV021,AHV022,AHV023,AHV024,AHV025,AHV026,AHV027,AHV028,AHV029,AHV030,AHW001,AHW002
"G0100010","1860","Alabama","010","Autauga","0010","Autauga",16739,7088,12,2,30,0,0,16598,8620,47784,190636,23,51,197,146,248,48,17,253,1034,1202,1193,856,1485,952,630,364,231,71,21,5,2,1,267,1102,1209,1117,991,1579,920,606,349,217,56,20,5,0,1,,
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin",7530,3249,6,134,427,0,0,3929,11330,1537,41326,34,60,48,15,30,1,0,122,455,472,417,422,1129,691,388,189,109,33,8,2,1,0,123,405,460,415,327,584,344,214,130,60,19,7,2,2,0,,
"G0100050","1860","Alabama","010","Barbour","0050","Barbour",30812,14420,11,22,209,0,0,6055,1915,18415,300878,31,60,469,343,500,96,30,540,2056,2295,2261,1764,2767,1681,1122,578,301,100,30,6,4,1,530,2164,2337,2139,1793,2705,1696,980,522,291,95,37,10,4,3,,
"G0100070","1860","Alabama","010","Bibb","0070","Bibb",11894,8004,0,25,23,0,0,8933,12,35618,164367,19,75,276,254,247,5,2,194,825,946,896,679,1003,566,376,253,150,49,11,2,3,0,204,841,923,875,731,1005,618,348,202,125,45,19,4,1,0,,
"G0100090","1860","Alabama","010","Blount","0090","Blount",10865,10189,3,3,4,0,0,3835,100,30280,79759,9,47,318,231,105,1,0,193,787,919,823,653,856,512,334,201,128,45,9,3,0,0,198,772,883,770,625,909,582,352,176,99,29,7,0,0,0,,
"G0100130","1860","Alabama","010","Butler","0130","Butler",18122,11181,1,43,79,0,0,875,0,21214,172943,18,59,336,272,319,23,0,305,1296,1416,1311,1064,1684,982,614,335,206,76,21,5,3,0,268,1167,1334,1231,1101,1645,934,547,310,177,68,17,4,1,0,,
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun",21539,17124,9,19,45,0,0,130,11,59202,220382,32,159,632,431,367,16,0,366,1496,1705,1609,1218,1771,1087,698,427,233,100,29,2,0,1,370,1398,1700,1534,1389,1848,1125,701,391,225,85,26,5,0,0,,
"G0100170","1860","Alabama","010","Chambers","0170","Chambers",23214,11247,35,15,68,0,0,16805,0,9204,308711,2,22,271,318,567,89,19,329,1600,1820,1765,1405,2039,1097,721,504,261,114,33,7,1,1,316,1559,1776,1599,1472,2040,1162,758,454,251,100,21,7,2,0,,
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee",18360,15280,16,21,41,0,0,1031,58,65596,188137,21,70,471,414,299,8,2,313,1278,1400,1406,1026,1482,881,628,420,214,73,16,3,2,18,327,1196,1457,1300,1071,1614,935,640,344,198,80,11,7,3,17,,
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw",13877,6719,12,4,48,0,0,5658,0,10619,127921,21,65,262,182,267,21,3,188,966,1080,1011,822,1277,743,518,272,164,53,3,2,1,0,211,944,1056,965,777,1211,771,460,205,128,37,6,5,1,0,,
"G0100250","1860","Alabama","010","Clarke","0250","Clarke",15049,7533,2,12,66,0,0,70,10,26362,145588,32,98,303,179,253,30,6,267,1051,1158,977,872,1388,795,526,303,204,57,7,3,3,0,259,1043,1126,999,845,1321,801,525,300,135,55,22,6,1,0,,
"G0100310","1860","Alabama","010","Coffee","0310","Coffee",9623,8184,0,6,16,0,0,0,0,26236,104482,6,70,357,206,186,4,0,185,662,851,760,576,748,454,345,201,114,38,16,2,0,0,158,647,722,685,596,769,469,317,159,96,37,13,1,2,0,,
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh",11311,6291,5,5,128,0,0,3979,50,59085,107213,21,41,164,94,167,30,8,178,786,861,802,662,1110,552,402,225,134,50,18,4,1,0,172,791,823,756,685,972,563,374,210,115,42,19,3,1,0,,
"G0100370","1860","Alabama","010","Coosa","0370","Coosa",19273,13956,7,4,94,0,0,19574,950,62884,248214,66,127,648,423,343,21,3,295,1325,1526,1424,1095,1800,956,664,409,266,78,12,0,1,0,293,1249,1475,1433,1169,1592,972,626,346,185,64,13,4,1,0,,
"G0100390","1860","Alabama","010","Covington","0390","Covington",6469,5630,2,15,1,0,0,97,150,35458,96922,31,52,229,137,63,4,1,89,483,568,474,355,485,330,226,127,91,30,8,0,1,0,128,469,524,436,371,523,323,204,111,74,25,12,2,0,0,,
"G0100450","1860","Alabama","010","Dale","0450","Dale",12197,10359,3,4,22,0,0,6337,0,70824,169395,44,58,353,361,246,4,0,207,905,1016,959,670,942,582,427,238,135,41,14,3,1,0,210,869,1006,894,760,979,609,371,203,114,31,6,4,1,0,,
"G0100470","1860","Alabama","010","Dallas","0470","Dallas",33625,7470,13,67,315,0,0,1253,2520,8372,332596,21,26,69,71,331,138,55,471,1991,2274,2215,1803,3198,2191,1422,795,409,134,32,10,8,7,492,2086,2181,2147,1991,3125,2050,1232,752,417,134,31,9,11,7,,
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb",10705,9830,1,3,23,0,0,588,0,85433,126659,40,75,368,238,170,4,0,194,769,861,802,633,808,489,333,231,130,35,10,1,2,0,212,715,851,795,665,932,532,349,217,99,29,8,2,1,0,,
"G0100570","1860","Alabama","010","Fayette","0570","Fayette",12850,11120,0,2,25,0,0,3503,165,93100,130276,59,148,551,293,138,0,0,192,1027,1005,970,737,1045,667,405,265,144,68,20,3,1,1,205,950,1001,849,754,1124,628,378,210,133,52,11,2,3,0,,
"G0100590","1860","Alabama","010","Franklin","0590","Franklin",18627,10004,7,6,115,0,0,649,550,76502,259303,22,121,308,228,189,64,19,275,1320,1451,1373,1021,1547,1022,651,388,254,72,19,3,3,1,239,1316,1374,1201,1172,1621,1032,634,344,210,66,17,0,1,0,,
"G0100630","1860","Alabama","010","Greene","0630","Greene",30859,7079,4,6,172,0,0,4925,100,12894,324828,4,2,66,124,431,99,67,318,2044,2042,2084,1867,3058,1941,1282,654,432,102,36,10,4,0,398,2012,2106,2048,1849,2670,1761,1083,583,317,111,29,15,3,0,,
"G0100670","1860","Alabama","010","Henry","0670","Henry",14918,10441,8,13,23,0,0,100,0,24892,217648,15,53,297,266,268,23,8,308,1067,1146,1056,851,1365,757,501,303,153,43,14,0,1,1,294,961,1157,1022,919,1327,724,505,244,122,53,15,3,4,2,,
"G0100710","1860","Alabama","010","Jackson","0710","Jackson",18283,14664,1,66,147,0,0,393,0,85995,220584,35,162,408,303,314,16,3,326,1275,1463,1364,1054,1668,944,581,374,217,47,15,3,0,1,325,1183,1359,1221,1079,1634,961,607,334,162,60,23,2,1,0,,
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson",11746,9058,1,18,20,0,0,2915,0,51155,130861,20,135,472,251,168,13,6,195,863,973,901,654,913,558,401,221,128,49,18,1,0,2,202,792,975,823,728,988,611,363,199,138,33,14,2,1,0,,
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale",17420,10490,16,28,149,0,0,3944,16725,22833,164482,62,101,293,215,254,39,32,307,1123,1265,1289,969,1463,949,624,376,236,72,23,0,0,1,267,1145,1267,1174,1043,1558,990,597,364,209,86,17,5,0,1,,
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence",13975,7154,5,9,19,0,0,200,100,18263,160823,12,40,176,156,184,37,34,196,954,1024,1009,753,1201,738,501,322,175,53,19,0,2,0,206,980,1066,903,799,1320,746,481,291,143,74,18,1,0,0,,
"G0100830","1860","Alabama","010","Limestone","0830","Limestone",15306,7203,5,1,12,0,0,500,400,16551,173593,13,53,156,149,222,59,20,260,1058,1086,1056,836,1326,744,546,379,205,72,18,1,0,1,245,1024,1184,1011,908,1355,866,551,299,188,63,17,6,1,0,,
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes",27716,8260,7,7,102,0,0,24,0,6709,319844,18,41,190,230,394,117,43,450,1737,2008,1897,1552,2550,1638,1106,560,314,101,32,8,2,3,463,1878,2012,1718,1644,2512,1599,1000,509,289,90,33,4,4,3,,
"G0100870","1860","Alabama","010","Macon","0870","Macon",26802,8550,0,1,75,0,0,140,392,11333,269665,19,15,63,100,440,109,30,216,1725,2052,1692,1500,2581,1790,989,540,258,70,22,2,2,0,208,1869,2098,1776,1724,2446,1551,914,466,212,68,20,7,2,2,,
"G0100890","1860","Alabama","010","Madison","0890","Madison",26451,11541,99,93,145,0,0,2102,1898,65305,222761,30,34,188,183,363,95,22,433,1678,1833,1793,1417,2432,1483,1029,608,418,150,29,4,4,0,469,1661,1748,1801,1486,2406,1375,1009,597,384,144,46,11,2,1,,
"G0100910","1860","Alabama","010","Marengo","0910","Marengo",31171,6640,0,1,121,0,0,2427,0,42251,368051,13,34,140,103,322,104,62,411,2165,2222,2089,1699,2848,1907,1302,620,437,92,33,12,3,1,468,2140,2214,1965,1878,2712,1751,1201,562,306,95,24,8,5,1,,
"G0100930","1860","Alabama","010","Marion","0930","Marion",11182,9888,0,5,6,0,0,1190,0,45862,133406,65,156,461,313,127,5,0,240,831,904,805,656,849,527,352,226,123,51,7,1,0,1,186,797,928,781,686,988,549,324,203,109,39,11,5,3,0,,
"G0100950","1860","Alabama","010","Marshall","0950","Marshall",11472,9438,12,39,162,0,0,707,30,44279,125124,35,118,317,186,133,13,2,217,792,887,836,668,957,602,402,235,124,39,19,3,2,3,210,782,872,795,652,1007,601,385,214,108,44,12,4,0,0,,
"G0100970","1860","Alabama","010","Mobile","0970","Mobile",41131,20827,111,1083,7733,1,0,11755,89255,0,285743,76,129,117,25,21,0,0,492,2130,2247,2159,2128,5287,3637,2391,1122,435,109,31,9,2,6,501,2167,2307,2238,2195,3795,2722,1599,788,444,128,42,15,3,2,,
"G0100990","1860","Alabama","010","Monroe","0990","Monroe",15667,6847,1,45,69,0,0,60,0,28483,148380,9,51,239,171,255,31,8,238,1104,1181,1135,892,1341,817,566,318,203,56,17,0,0,0,255,980,1132,1163,924,1323,874,558,307,180,79,17,7,0,0,,
"G0101010","1860","Alabama","010","Montgomery","1010","Montgomery",35904,11447,20,50,677,0,0,3999,16464,9997,336915,2,16,99,150,364,109,60,400,2319,2467,2416,1966,3572,2347,1525,802,416,131,29,9,6,3,421,2187,2375,2250,2046,3335,2197,1369,761,394,109,37,6,7,2,,
"G0101030","1860","Alabama","010","Morgan","1030","Morgan",11335,7548,27,10,44,0,0,2312,2152,25923,131271,31,64,236,182,196,31,5,185,806,785,780,682,984,555,375,264,139,50,9,2,0,0,211,727,811,802,674,1045,595,401,243,138,48,14,9,1,0,,
"G0101050","1860","Alabama","010","Perry","1050","Perry",27724,9358,15,24,121,0,0,576,0,6845,291614,13,33,183,204,375,88,30,488,1897,1979,1937,1439,2596,1782,1091,529,307,98,18,4,2,1,417,1938,2012,1805,1660,2443,1499,938,465,264,87,16,7,5,0,,
"G0101070","1860","Alabama","010","Pickens","1070","Pickens",22316,10061,3,5,56,0,0,100,0,18391,315826,16,55,353,330,467,53,2,339,1531,1669,1577,1258,1993,1169,779,386,323,73,24,5,5,1,368,1613,1628,1525,1384,1989,1165,705,414,280,80,25,5,3,0,,
"G0101090","1860","Alabama","010","Pike","1090","Pike",24435,15605,3,1,41,0,0,11423,35,71320,303472,23,85,516,508,522,24,4,427,1822,2004,1793,1365,2179,1278,814,450,262,79,25,3,3,0,420,1643,1912,1701,1456,2102,1237,734,405,213,77,24,4,3,0,,
"G0101110","1860","Alabama","010","Randolph","1110","Randolph",20059,18101,5,18,31,0,0,10258,2457,86339,199149,112,431,965,478,213,2,1,366,1451,1733,1527,1116,1497,912,653,415,247,89,33,1,0,0,329,1362,1608,1442,1246,1643,1053,634,378,206,76,35,5,2,0,,
"G0101130","1860","Alabama","010","Russell","1130","Russell",26592,10872,16,2,64,0,0,6600,4880,4754,237360,11,145,258,435,109,35,0,418,1850,1975,1914,1468,2305,1519,994,497,308,104,22,2,1,1,417,1820,2062,1819,1529,2353,1487,860,459,281,85,30,10,2,0,,
"G0101150","1860","Alabama","010","St Clair","1150","St Clair",11013,9215,6,3,21,0,0,4219,0,37912,130327,25,144,480,262,161,2,0,204,804,881,865,628,890,540,361,201,128,54,18,0,0,1,235,751,918,748,609,940,552,308,212,119,33,7,6,0,0,,
"G0101170","1860","Alabama","010","Shelby","1170","Shelby",12618,8882,1,25,88,0,0,9787,330,36293,137582,11,55,239,208,235,13,1,178,911,1024,968,726,1111,633,447,268,149,48,12,3,2,1,226,816,1012,859,761,1028,630,406,222,126,41,6,1,2,1,,
"G0101190","1860","Alabama","010","Sumter","1190","Sumter",24035,5838,12,13,81,0,0,725,150,13265,265522,8,4,20,64,294,71,37,329,1700,1701,1645,1342,2351,1502,1031,509,297,81,20,1,1,0,304,1748,1532,1532,1367,2065,1363,881,442,204,65,14,5,3,0,,
"G0101210","1860","Alabama","010","Talladega","1210","Talladega",23520,14515,15,6,119,0,0,0,0,23327,243906,6,91,453,331,337,49,8,358,1507,1709,1751,1481,2064,1177,792,510,285,81,26,2,2,1,385,1580,1772,1793,1489,2032,1170,793,424,232,70,26,5,3,0,,
"G0101230","1860","Alabama","010","Tallapoosa","1230","Tallapoosa",23827,17124,1,0,30,0,0,169,0,51621,226291,46,170,751,513,432,27,4,382,1713,1984,1665,1418,1979,1138,765,491,295,81,23,4,1,0,375,1633,1906,1725,1428,2129,1181,718,446,249,70,23,4,1,0,,
"G0101250","1860","Alabama","010","Tuscaloosa","1250","Tuscaloosa",23200,12841,26,57,130,1,0,26344,480,37706,256599,46,130,497,388,376,47,12,339,1459,1735,1738,1353,2096,1288,851,450,344,126,24,5,3,2,367,1486,1716,1599,1399,1961,1236,761,441,283,94,40,2,2,0,,
"G0101270","1860","Alabama","010","Walker","1270","Walker",7980,7454,0,0,7,0,0,374,0,32983,74122,56,145,407,164,61,0,0,119,619,663,589,510,612,376,240,163,89,38,4,1,0,0,136,584,663,602,443,687,371,240,125,75,23,5,2,0,1,,
"G0101290","1860","Alabama","010","Washington","1290","Washington",4669,2105,4,52,14,0,0,0,0,0,39579,5,17,114,138,334,89,28,63,318,315,349,255,417,286,186,110,72,30,8,1,1,2,71,328,327,319,256,391,243,143,80,74,16,8,0,0,0,,
"G0101310","1860","Alabama","010","Wilcox","1310","Wilcox",24618,6704,21,5,91,0,0,12577,75,25344,232417,5,81,107,44,40,7,1,303,1602,1757,1776,1245,2386,1565,926,446,285,87,20,4,6,1,310,1689,1688,1626,1449,2322,1433,891,437,266,68,26,1,3,0,,
