GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AJR001,AJV001,AJV002,AJX001,AJY001,AJY002,AJY003,AJY004,AJY005,AJZ001
"G0100010","1870","Alabama","010","Autauga","0010","Autauga",11623,1122059,58164,995114,393,475,2331,3735,32531,369056
"G0100015","1870","Alabama","010","Baker","0015","Baker",6194,284378,18885,349587,426,2515,964,22251,53483,237442
"G0100030","1870","Alabama","010","Baldwin","0030","Baldwin",6004,140550,2158,81210,0,65,0,0,0,124137
"G0100050","1870","Alabama","010","Barbour","0050","Barbour",29309,2374493,93722,3186725,0,0,12000,750,1380,669972
"G0100070","1870","Alabama","010","Bibb","0070","Bibb",7469,295110,22637,273777,225,4555,0,780,30598,147466
"G0100090","1870","Alabama","010","Blount","0090","Blount",9945,649291,14861,572045,3239,10,1850,64395,109300,435315
"G0100110","1870","Alabama","010","Bullock","0110","Bullock",24474,2468172,171925,2008451,10,100,0,15,325,715225
"G0100130","1870","Alabama","010","Butler","0130","Butler",14981,927827,13433,983066,2146,870,0,830,69170,363962
"G0100150","1870","Alabama","010","Calhoun","0150","Calhoun",13980,1324105,34848,713006,255,130,162,46699,93302,339112
"G0100170","1870","Alabama","010","Chambers","0170","Chambers",17562,1286665,36320,1258874,45,50,270,3891,111081,454123
"G0100190","1870","Alabama","010","Cherokee","0190","Cherokee",11132,1267036,65318,665213,2238,153,2052,39435,101569,371513
"G0100230","1870","Alabama","010","Choctaw","0230","Choctaw",12676,946850,48523,908562,1808,0,459,2110,67823,409209
"G0100250","1870","Alabama","010","Clarke","0250","Clarke",14663,156165,21175,840160,0,0,0,1270,65050,374706
"G0100270","1870","Alabama","010","Clay","0270","Clay",9560,453791,40752,593139,65,0,0,49820,79137,310795
"G0100290","1870","Alabama","010","Cleburne","0290","Cleburne",8017,497820,26372,460591,631,11,0,39707,78896,263116
"G0100310","1870","Alabama","010","Coffee","0310","Coffee",6171,308110,51876,511588,25,0,100,225,62961,214622
"G0100330","1870","Alabama","010","Colbert","0330","Colbert",12537,910627,42168,677646,30,430,381,1654,85680,306808
"G0100350","1870","Alabama","010","Conecuh","0350","Conecuh",9574,240795,8823,275675,1200,0,0,2344,30088,172132
"G0100370","1870","Alabama","010","Coosa","0370","Coosa",11945,610653,28454,1040736,0,0,731,69306,119843,472805
"G0100390","1870","Alabama","010","Covington","0390","Covington",4868,123443,5188,315418,0,0,400,8070,0,158667
"G0100410","1870","Alabama","010","Crenshaw","0410","Crenshaw",11156,684870,34571,970227,50,0,50,14601,113517,351618
"G0100450","1870","Alabama","010","Dale","0450","Dale",11325,437060,22293,832351,100,230,25,67174,133001,393579
"G0100470","1870","Alabama","010","Dallas","0470","Dallas",40705,3112373,89523,2753591,776,1579,8931,2738,60343,740737
"G0100490","1870","Alabama","010","DeKalb","0490","Dekalb",7126,534924,46477,404203,231,30,120,37225,109096,328799
"G0100510","1870","Alabama","010","Elmore","0510","Elmore",14477,924020,44111,1514157,720,0,620,7881,80314,440747
"G0100530","1870","Alabama","010","Escambia","0530","Escambia",4041,36999,3108,146195,250,400,0,4481,26546,147226
"G0100550","1870","Alabama","010","Etowah","0550","Etowah",10109,750420,37836,543142,108,213,0,24386,59034,249043
"G0100570","1870","Alabama","010","Fayette","0570","Fayette",7136,325385,17043,498094,25,0,60,33412,62159,313271
"G0100590","1870","Alabama","010","Franklin","0590","Franklin",8006,488593,29851,539049,229,781,393,331,79448,309542
