GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AJ3001,ALB001,ALB002,AKH001,AKN001,AKN002,AKN003,AKN004,AKN005,AKN006,AKP001
"G0100010","1870","Alabama","010","Autauga","0010","Autauga",11623,11590,33,2350,393,475,2331,3735,32531,369056,893
"G0100015","1870","Alabama","010","Baker","0015","Baker",6194,6187,7,1072,426,2515,964,22251,53483,237442,767
"G0100030","1870","Alabama","010","Baldwin","0030","Baldwin",6004,5853,151,1470,0,65,0,0,0,124137,154
"G0100050","1870","Alabama","010","Barbour","0050","Barbour",29309,29159,150,5794,0,0,12000,750,1380,669972,1099
"G0100070","1870","Alabama","010","Bibb","0070","Bibb",7469,7447,22,1494,225,4555,0,780,30598,147466,273
"G0100090","1870","Alabama","010","Blount","0090","Blount",9945,9934,11,1814,3239,10,1850,64395,109300,435315,1785
"G0100110","1870","Alabama","010","Bullock","0110","Bullock",24474,24388,86,5290,10,100,0,15,325,715225,1116
"G0100130","1870","Alabama","010","Butler","0130","Butler",14981,14902,79,2927,2146,870,0,830,69170,363962,1046
"G0100150","1870","Alabama","010","Calhoun","0150","Calhoun",13980,13898,82,2719,255,130,162,46699,93302,339112,880
"G0100170","1870","Alabama","010","Chambers","0170","Chambers",17562,17504,58,3309,45,50,270,3891,111081,454123,1114
"G0100190","1870","Alabama","010","Cherokee","0190","Cherokee",11132,11104,28,2074,2238,153,2052,39435,101569,371513,938
"G0100230","1870","Alabama","010","Choctaw","0230","Choctaw",12676,12633,43,2520,1808,0,459,2110,67823,409209,865
"G0100250","1870","Alabama","010","Clarke","0250","Clarke",14663,14601,62,2895,0,0,0,1270,65050,374706,765
"G0100270","1870","Alabama","010","Clay","0270","Clay",9560,9553,7,1664,65,0,0,49820,79137,310795,1274
"G0100290","1870","Alabama","010","Cleburne","0290","Cleburne",8017,8010,7,1402,631,11,0,39707,78896,263116,1063
"G0100310","1870","Alabama","010","Coffee","0310","Coffee",6171,6169,2,1096,25,0,100,225,62961,214622,685
"G0100330","1870","Alabama","010","Colbert","0330","Colbert",12537,12452,85,2518,30,430,381,1654,85680,306808,716
"G0100350","1870","Alabama","010","Conecuh","0350","Conecuh",9574,9554,20,1794,1200,0,0,2344,30088,172132,275
"G0100370","1870","Alabama","010","Coosa","0370","Coosa",11945,11939,6,2099,0,0,731,69306,119843,472805,1848
"G0100390","1870","Alabama","010","Covington","0390","Covington",4868,4868,0,869,0,0,400,8070,0,158667,379
"G0100410","1870","Alabama","010","Crenshaw","0410","Crenshaw",11156,11147,9,2027,50,0,50,14601,113517,351618,1486
"G0100450","1870","Alabama","010","Dale","0450","Dale",11325,11317,8,1985,100,230,25,67174,133001,393579,1116
"G0100470","1870","Alabama","010","Dallas","0470","Dallas",40705,40266,439,9351,776,1579,8931,2738,60343,740737,732
"G0100490","1870","Alabama","010","DeKalb","0490","Dekalb",7126,7073,53,1378,231,30,120,37225,109096,328799,1125
"G0100510","1870","Alabama","010","Elmore","0510","Elmore",14477,14407,70,3026,720,0,620,7881,80314,440747,1058
"G0100530","1870","Alabama","010","Escambia","0530","Escambia",4041,4003,38,807,250,400,0,4481,26546,147226,239
"G0100550","1870","Alabama","010","Etowah","0550","Etowah",10109,10060,49,1935,108,213,0,24386,59034,249043,649
"G0100570","1870","Alabama","010","Fayette","0570","Fayette",7136,7125,11,1285,25,0,60,33412,62159,313271,1156
"G0100590","1870","Alabama","010","Franklin","0590","Franklin",8006,7991,15,1444,229,781,393,331,79448,309542,978
"G0100610","1870","Alabama","010","Geneva","0610","Geneva",2959,2952,7,530,321,0,8456,20523,48912,148288,303
"G0100630","1870","Alabama","010","Greene","0630","Greene",18399,18327,72,3946,0,100,100,155,54772,498944,913
"G0100650","1870","Alabama","010","Hale","0650","Hale",21792,21687,105,4937,300,5,1335,1519,47566,702218,640
"G0100670","1870","Alabama","010","Henry","0670","Henry",14191,14180,11,2557,822,0,0,429,124662,474769,1576
"G0100710","1870","Alabama","010","Jackson","0710","Jackson",19410,19363,47,3740,688,348,16106,56582,213033,620263,1464
"G0100730","1870","Alabama","010","Jefferson","0730","Jefferson",12345,12314,31,2306,893,185,672,33672,108809,430702,1124
"G0100770","1870","Alabama","010","Lauderdale","0770","Lauderdale",15091,15002,89,2959,11,100,235,14630,69511,500471,1850
"G0100790","1870","Alabama","010","Lawrence","0790","Lawrence",16658,16610,48,3285,352,2375,595,15639,104235,689507,2046
"G0100810","1870","Alabama","010","Lee","0810","Lee",21750,21692,58,4330,1235,675,0,0,100415,472696,1205
"G0100830","1870","Alabama","010","Limestone","0830","Limestone",15017,14973,44,3164,587,133,0,10430,130830,562739,1362
"G0100850","1870","Alabama","010","Lowndes","0850","Lowndes",25719,25633,86,5555,260,100,2650,18457,53443,644753,954
"G0100870","1870","Alabama","010","Macon","0870","Macon",17727,17677,50,3696,0,100,0,0,33636,415079,571
"G0100890","1870","Alabama","010","Madison","0890","Madison",31267,31023,244,6473,865,10690,2117,8861,120667,704036,2758
"G0100910","1870","Alabama","010","Marengo","0910","Marengo",26151,26035,116,5809,445,0,150,0,13527,770674,1311
"G0100930","1870","Alabama","010","Marion","0930","Marion",6059,6053,6,1084,5,15,0,39523,48629,138122,1290
"G0100950","1870","Alabama","010","Marshall","0950","Marshall",9871,9853,18,1747,179,130,1290,47399,101628,390242,1099
"G0100970","1870","Alabama","010","Mobile","0970","Mobile",49311,44112,5199,12454,6520,61380,4445,210,10431,228520,467
"G0100990","1870","Alabama","010","Monroe","0990","Monroe",14214,14180,34,2811,0,0,2720,7588,68512,394212,983
"G0101010","1870","Alabama","010","Montgomery","1010","Montgomery",43704,42780,924,10174,100,45842,0,2790,90153,833199,1456
"G0101030","1870","Alabama","010","Morgan","1030","Morgan",12187,12082,105,2466,231,100,3306,2707,107250,453375,1218
"G0101050","1870","Alabama","010","Perry","1050","Perry",24975,24877,98,5355,75,0,0,0,0,491609,452
"G0101070","1870","Alabama","010","Pickens","1070","Pickens",17690,17655,35,3351,0,0,0,4211,84016,377557,634
"G0101090","1870","Alabama","010","Pike","1090","Pike",17423,17392,31,3236,0,0,0,12690,175976,539227,1542
"G0101110","1870","Alabama","010","Randolph","1110","Randolph",12006,11995,11,2067,12,0,300,67028,119803,370810,1673
"G0101130","1870","Alabama","010","Russell","1130","Russell",21636,21573,63,4617,1245,3092,3594,0,35610,498304,743
"G0101150","1870","Alabama","010","St Clair","1150","St Clair",9360,9353,7,1809,0,0,10,14943,16738,252095,762
"G0101155","1870","Alabama","010","Sanford","1155","Sanford",8893,8882,11,1564,135,582,0,29513,64083,301749,1066
"G0101170","1870","Alabama","010","Shelby","1170","Shelby",12218,12080,138,2407,2082,300,548,32556,86668,311018,1063
"G0101190","1870","Alabama","010","Sumter","1190","Sumter",24109,24012,97,5126,250,40,0,887,57726,513788,1143
"G0101210","1870","Alabama","010","Talladega","1210","Talladega",18064,17963,101,3438,32,0,70,5755,76834,400156,708
"G0101230","1870","Alabama","010","Tallapoosa","1230","Tallapoosa",16963,16947,16,3030,0,0,180,0,138673,406999,527
"G0101250","1870","Alabama","010","Tuscaloosa","1250","Tuscaloosa",20081,19760,321,4267,0,202,2085,16020,86509,454982,808
"G0101270","1870","Alabama","010","Walker","1270","Walker",6543,6536,7,1158,335,0,0,14739,52124,216724,831
"G0101290","1870","Alabama","010","Washington","1290","Washington",3912,3900,12,751,600,0,220,5210,6551,164741,311
"G0101310","1870","Alabama","010","Wilcox","1310","Wilcox",28377,28291,86,5986,3645,545,2850,3894,52416,957754,3255
"G0101330","1870","Alabama","010","Winston","1330","Winston",4155,4152,3,722,140,0,0,86437,50123,175028,800
"G0450155","1870","Arizona Territory","045","Mohave","0155","Mohave",179,122,57,150,0,1300,0,0,0,29700,15
"G0450177","1870","Arizona Territory","045","Pah-Ute","0177","Pah-Ute",,,,,0,0,0,725,675,62405,135
"G0450195","1870","Arizona Territory","045","Pima","0195","Pima",5716,1900,3816,2819,0,1550,0,0,9400,77496,140
"G0450255","1870","Arizona Territory","045","Yavapai","0255","Yavapai",2142,1208,934,1664,0,0,0,0,0,0,0
"G0450275","1870","Arizona Territory","045","Yuma","0275","Yuma",1621,619,1002,720,0,0,0,0,0,36800,17
"G0500010","1870","Arkansas","050","Arkansas","0010","Arkansas",8268,8137,131,2005,4360,190,0,50,34887,364094,1452
"G0500030","1870","Arkansas","050","Ashley","0030","Ashley",8042,7991,51,1588,1264,27,251,13390,50800,428654,1422
"G0500070","1870","Arkansas","050","Benton","0070","Benton",13831,13782,49,2790,31524,11,1104,23393,99926,467608,1466
"G0500090","1870","Arkansas","050","Boone","0090","Boone",7032,7018,14,1330,3662,40,1550,43601,95411,337883,1040
"G0500110","1870","Arkansas","050","Bradley","0110","Bradley",8646,8624,22,1680,25,0,120,10467,44136,351714,1037
"G0500130","1870","Arkansas","050","Calhoun","0130","Calhoun",3853,3845,8,779,0,0,0,6694,6079,189715,425
"G0500150","1870","Arkansas","050","Carroll","0150","Carroll",5780,5771,9,1062,3048,749,420,29666,42374,223770,689
"G0500170","1870","Arkansas","050","Chicot","0170","Chicot",7214,7054,160,1891,0,100,0,0,256,259446,127
"G0500190","1870","Arkansas","050","Clark","0190","Clark",11953,11935,18,2393,3325,150,330,18118,113771,427393,843
"G0500270","1870","Arkansas","050","Columbia","0270","Columbia",11397,11378,19,2216,25,0,0,7087,86382,263776,789
"G0500290","1870","Arkansas","050","Conway","0290","Conway",8112,8045,67,1652,18,0,85,20401,121531,440479,1135
"G0500310","1870","Arkansas","050","Craighead","0310","Craighead",4577,4571,6,852,0,0,0,12078,57840,200540,646
"G0500330","1870","Arkansas","050","Crawford","0330","Crawford",8957,8867,90,1912,597,0,0,9502,82000,228753,574
"G0500350","1870","Arkansas","050","Crittenden","0350","Crittenden",3831,3795,36,1133,0,0,0,100,33257,154334,998
"G0500370","1870","Arkansas","050","Cross","0370","Cross",3915,3894,21,797,0,0,180,1988,3217,137148,418
