GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AG1001,AG1002,AG1003,AG1004,AG1005,AG1006,AG1007,AG1008,AG1009,AG1010,AG1011,AG1012,AG1013,AG1014,AG1015,AG1016,AG1017,AG1018,AG1019,AG1020,AG1021,AG1022,AG1023,AG1024,AG1025,AG1026,AG1027,AG1028,AG1029,AG1030,AG1031,AG1032,AG1033
"G0100010","1860","Alabama","010","Autauga","0010","Autauga",10307,2152,257380,2392,540,95,831792,2212,44244,2543,60926,143,128,312,9067,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,3570
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin",29,85,60337,0,158,35,104256,1304,1651,613,16310,0,0,29,1693,25,5422,0,0,0,0,0,0,0,0,0,0,0,0,22,0,93,1010
"G0100050","1860","Alabama","010","Barbour","0050","Barbour",6121,1220,418588,5347,972,18,2136864,2057,61861,1741,131448,238,30,197,10121,4,166,0,0,0,0,0,0,0,0,0,0,0,0,3785,29,875,5740
"G0100070","1860","Alabama","010","Bibb","0070","Bibb",15701,574,189120,2429,8,223,398544,2207,29469,1796,41702,59,161,3,6584,0,9995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,4575
"G0100090","1860","Alabama","010","Blount","0090","Blount",35992,235,135563,2443,2,1979,51408,1342,9902,2582,19176,60,34,0,8507,1,96,15,19,1,0,0,0,0,6,0,0,0,0,1108,0,216,1200
"G0100130","1860","Alabama","010","Butler","0130","Butler",1126,303,219098,1916,98,31,647472,2061,19192,214,59708,0,0,4,7681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,348,2225
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun",105503,502,301389,9537,9,431,555504,2706,12051,2335,43608,87,0,2,15522,3,569,0,17,2,0,0,0,0,0,0,0,0,0,1050,2745,244,2794
"G0100170","1860","Alabama","010","Chambers","0170","Chambers",80438,1650,364994,15251,25,6,1180272,1953,18643,4448,84850,71,0,79,18558,42,18,0,0,0,0,0,0,0,0,0,0,0,0,27,0,599,8917
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee",92858,709,277940,11009,7,2106,506976,3083,14707,3576,38315,33,0,66,12715,61,447,0,8,0,0,0,0,0,35,0,0,0,0,256,0,212,1845
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw",451,751,204831,938,167,6,828096,1251,18161,2282,49347,23,16,152,4979,0,8856,0,64,0,0,0,0,0,0,0,0,0,0,26,0,227,2611
"G0100250","1860","Alabama","010","Clarke","0250","Clarke",71,550,237523,695,237,1418,778800,2410,13790,1994,72587,0,0,12,5605,0,7376,0,19,0,0,0,0,0,0,0,0,0,0,235,0,1730,9882
"G0100310","1860","Alabama","010","Coffee","0310","Coffee",544,54,118598,853,40,21,254112,593,24193,330,37611,35,0,3,3237,40,0,0,0,0,0,0,0,0,0,0,0,0,0,951,0,161,1203
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh",839,527,139201,1193,362,295,328800,1821,10311,822,34738,8,0,79,3833,20,184,0,0,2,0,0,0,0,0,0,0,81,0,257,182,682,3797
"G0100370","1860","Alabama","010","Coosa","0370","Coosa",32721,851,254347,6524,232,167,671520,2123,43848,6002,75981,309,0,65,10167,105,788,0,3,1,0,0,0,0,0,0,0,0,0,34,0,996,6543
"G0100390","1860","Alabama","010","Covington","0390","Covington",357,176,68299,399,460,129,97008,1671,5666,97,26620,7,0,0,2831,20,0,0,0,0,0,0,0,0,0,0,0,12188,0,718,139,428,2225
"G0100450","1860","Alabama","010","Dale","0450","Dale",1304,501,156970,3269,840,199,376128,2270,6525,680,52382,0,0,0,4903,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4716,0,474,2501
"G0100470","1860","Alabama","010","Dallas","0470","Dallas",9058,2015,622362,3569,503,182,3043680,3440,28290,3169,89241,61,0,671,11341,0,42390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,3003
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb",50425,669,207497,7079,1,2400,71904,2834,5833,4169,23536,8,0,0,7606,56,2076,25,83,0,0,0,0,0,0,0,0,0,0,0,13892,222,1495
"G0100570","1860","Alabama","010","Fayette","0570","Fayette",30073,225,155734,371,5,374,262176,3349,20943,1047,30769,17,8,3,10689,0,17257,0,0,0,0,0,0,0,0,0,0,0,0,517,191,661,4384
"G0100590","1860","Alabama","010","Franklin","0590","Franklin",22198,2906,351885,5465,9,612,748416,3941,13213,5180,24994,10,0,34,14098,13,596,50,56,0,0,0,0,0,0,0,1,0,0,0,1188,167,2078
"G0100630","1860","Alabama","010","Greene","0630","Greene",22474,2098,603306,6033,4,2,2777184,4962,44247,4151,93345,81,0,305,12576,0,24116,120,667,0,0,0,0,0,0,0,0,0,0,0,0,457,2352
"G0100670","1860","Alabama","010","Henry","0670","Henry",1826,1040,193944,1442,210,24,625632,1275,43019,1193,66252,9,0,64,5448,4,35,0,0,0,0,0,0,0,0,0,0,81,0,6452,0,482,4631
"G0100710","1860","Alabama","010","Jackson","0710","Jackson",26987,607,483329,2893,0,919,130224,3658,8955,5450,22601,117,0,3,11779,36,1358,25,114,0,0,0,0,0,6,0,11,3575,0,564,0,984,6479
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson",52053,206,269921,948,0,827,237120,2284,19276,2650,25438,0,0,0,12238,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,3062
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale",39526,2563,297437,10393,2,317,530400,3124,11214,5190,17401,0,3,41,8539,5,20840,35,234,1,0,0,0,0,0,0,0,0,0,0,4330,126,1262
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence",18173,3160,303446,4522,0,22,740832,2251,12252,3521,14384,39,0,0,7134,0,21751,40,0,0,0,0,0,0,0,0,0,1625,0,0,569,162,1214
"G0100830","1860","Alabama","010","Limestone","0830","Limestone",20723,3098,269461,3249,1,393,725520,2396,6174,3749,12698,8,0,30,7761,6,28225,0,0,3,0,0,0,2,23,3761,0,0,0,0,870,200,947
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes",9278,1204,592812,15341,388,3,2575872,2939,18080,4978,83823,151,0,84,10502,0,48522,0,0,0,0,0,0,0,0,0,0,0,0,67,0,662,4328
"G0100870","1860","Alabama","010","Macon","0870","Macon",24203,1293,447453,9270,147,5,1973712,999,60489,4401,115973,86,0,242,12884,0,22881,20,56,0,0,0,0,0,0,0,0,0,0,214,0,239,13908
"G0100890","1860","Alabama","010","Madison","0890","Madison",44485,5964,454662,15160,6,604,1061712,3011,24524,7817,33421,0,0,132,14119,2,49415,0,245,1,0,0,0,1,0,0,5,0,0,64,5095,569,3351
"G0100910","1860","Alabama","010","Marengo","0910","Marengo",4585,1219,636923,4750,735,18,2996544,4127,16750,2225,100241,61,78,35,13515,7,21821,25,36,1,0,0,0,0,0,0,0,0,0,11,0,972,4272
"G0100930","1860","Alabama","010","Marion","0930","Marion",25728,921,165148,665,48,1166,205680,2434,20149,1849,25716,17,0,17,13969,26,9005,0,0,0,0,0,0,0,0,0,0,0,0,0,2351,511,3641
"G0100950","1860","Alabama","010","Marshall","0950","Marshall",20838,661,212725,2305,3,340,236688,1947,4493,3345,20775,0,0,0,8220,5,2523,276,22,0,0,0,0,0,0,0,0,0,0,0,8134,192,1692
"G0100970","1860","Alabama","010","Mobile","0970","Mobile",0,0,32390,791,1356,3,21120,1561,3471,5599,5223,0,10,157,1001,16,9075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,933
"G0100990","1860","Alabama","010","Monroe","0990","Monroe",283,308,228369,278,188,4,874848,1654,16955,1316,56648,0,0,40,4272,2,140,0,56,1,0,0,0,0,0,0,0,0,0,153,0,1046,4367
"G0101010","1860","Alabama","010","Montgomery","1010","Montgomery",6443,972,729781,11382,117,43,2826240,3321,23510,4380,11229,658,91,89,13595,16,4108,0,3,0,0,0,0,0,0,0,0,0,0,22,0,275,1599
"G0101030","1860","Alabama","010","Morgan","1030","Morgan",16565,1095,206011,2341,33,643,303648,2465,10871,3674,17609,1597,0,65,8317,4,8769,5,6,1,0,0,0,0,0,0,0,0,0,1479,0,319,1987
"G0101050","1860","Alabama","010","Perry","1050","Perry",12791,779,494158,5521,199,54,2140944,3082,11909,1649,85990,478,6,148,12361,0,420,0,28,0,0,0,0,0,0,0,0,0,0,0,0,866,5390
"G0101070","1860","Alabama","010","Pickens","1070","Pickens",37645,982,406745,436,0,0,1432464,2987,30638,1699,79778,9,8,96,13073,0,12308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,4679
"G0101090","1860","Alabama","010","Pike","1090","Pike",3216,739,378926,4488,583,17,1177296,1571,58030,1533,116678,8,0,3,10792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,194,548,6122
"G0101110","1860","Alabama","010","Randolph","1110","Randolph",64342,584,257661,8491,70,1655,308496,3001,17559,2658,55105,148,76,20,18457,13,9,0,0,1,0,0,0,1,1,0,0,0,0,154,0,842,4598
"G0101130","1860","Alabama","010","Russell","1130","Russell",19289,508,357399,7510,96,115,1858944,1352,50634,3114,109105,68,1,270,11530,0,66094,0,0,73,0,0,0,0,0,0,0,0,0,505,513,338,3152
"G0101150","1860","Alabama","010","St Clair","1150","St Clair",39433,355,170902,1460,0,884,201072,1756,5125,2051,22044,0,0,0,11963,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,709,315,1519
"G0101170","1860","Alabama","010","Shelby","1170","Shelby",38197,988,174184,4030,7,232,310224,1486,11054,3975,27318,41,18,12,9707,0,17187,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3770,2775
"G0101190","1860","Alabama","010","Sumter","1190","Sumter",8978,1497,458385,3559,34,0,1756032,3639,31170,3847,58828,206,1,315,9581,10,1139,376,0,0,0,0,0,0,0,0,0,0,0,0,115,408,2815
"G0101210","1860","Alabama","010","Talladega","1210","Talladega",83190,1898,347380,21788,1,232,875664,2279,19760,4430,43178,1962,0,6,15597,0,289,0,0,0,0,0,0,0,6,0,0,0,0,0,428,209,1174
"G0101230","1860","Alabama","010","Tallapoosa","1230","Tallapoosa",60212,434,292201,3684,11,256,835152,2680,33919,1748,60069,18,0,8,10971,0,23853,0,0,0,0,0,0,0,0,0,0,0,0,0,358,768,8452
"G0101250","1860","Alabama","010","Tuscaloosa","1250","Tuscaloosa",25967,2325,395567,8323,856,175,1249680,3434,32094,4727,72130,60,27,375,23635,18,42206,10,0,0,0,0,0,0,0,0,4,894,0,0,326,1541,7815
"G0101270","1860","Alabama","010","Walker","1270","Walker",12327,535,114666,357,2,597,132768,1420,12040,905,18439,21,3,0,3861,7,9,0,0,0,0,0,0,2,0,0,0,0,0,0,1214,297,1821
"G0101290","1860","Alabama","010","Washington","1290","Washington",0,0,61063,0,0,0,165552,364,562,0,20176,0,0,647,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15
"G0101310","1860","Alabama","010","Wilcox","1310","Wilcox",3344,560,465225,3292,1660,0,2339952,2925,14664,3470,98931,1755,0,200,9077,4,12606,200,0,0,0,0,0,0,0,0,0,0,0,109,0,852,4675
"G0101330","1860","Alabama","010","Winston","1330","Winston",3600,546,40852,164,16,687,16896,510,5806,1252,7243,12,1,0,1370,2,0,0,17,0,0,0,0,1,2,0,0,0,0,0,2082,83,457
"G0500010","1860","Arkansas","050","Arkansas","0010","Arkansas",1380,82,167731,622,0,49,968544,545,12037,4101,21576,0,0,0,6680,9,12045,0,14,0,0,0,0,0,0,0,0,0,0,0,21,105,1507
"G0500030","1860","Arkansas","050","Ashley","0030","Ashley",2217,133,129977,809,0,5,452880,815,15727,3039,32589,0,0,14,6918,0,18,25,0,0,0,0,0,0,0,0,0,0,0,0,33,70,506
"G0500070","1860","Arkansas","050","Benton","0070","Benton",78327,4894,196188,12053,0,3395,0,3087,107,4017,5010,0,57,0,6407,21,1515,0,1073,5,0,0,5025,9,2,0,0,0,0,0,8597,69,913
"G0500110","1860","Arkansas","050","Bradley","0110","Bradley",17162,511,139919,1234,19,199,380208,1647,27570,2601,37155,6,0,4,10266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,264,1669
"G0500130","1860","Arkansas","050","Calhoun","0130","Calhoun",1877,32,64159,368,0,6,176256,790,725,574,11190,0,0,0,2319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,98,957
