COUNTY,YEAR,MACHINE,LIVESTOCK,AGOUT3,TOTPOP,FARMS,FORATIO,SLAVES,FORPOP,AMEN,POPGROWTH,WHEATRAT,RYERAT,CORNRAT,OATRAT,TOBACCORAT,COTTONRAT,WOOLRAT,IRPOTATORAT,SWPOTATORAT,BARLEYRAT,BUCKWHEATRAT,BUTTERRAT,HAYRAT,DIDRAT,CSA,LAGOUT3,LMACHINE,LLIVESTOCK,LFARMS
Abbeville,1860,260078,1242705,2049033,32385,1233,0.008337193,0.633070866,270,0,-0.5721048,0.053413488,0.000952644,0.149446593,0.016013407,0.000105904,0.514826262,0.00242651,0.002965789,0.020745396,0.000393844,0,0.00920239,0.020832754,0,1,14.53287853,12.46873687,14.03280101,7.117205503
Abbeville,1870,98309.75,465774.375,1769407.063,31129,1433,0.003019692,0.633070866,94,1,-0.5721048,0.037671196,0.000228842,0.092690644,0.013684901,1.53E-05,0.305643722,0.000726572,0.001626545,0.005002227,0.000736433,4.95E-06,0.021815576,0.001731314,0.633070866,1,14.38615506,11.49587849,13.05145662,7.267525428
Accomack,1860,68738,345628,741023,18586,1033,0.000914667,0.242494351,17,0,-0.360044317,0.04038876,0.001460144,0.387801728,0.168021775,0,0,0.001998588,0.011280352,0.144583906,0,1.08E-05,0.005057873,0,0,1,13.51578694,11.13805745,12.75311833,6.940222469
Accomack,1870,56618.375,220431.75,768924.75,20409,1456,0.000832966,0.242494351,17,1,-0.360044317,0.000960302,0.000104692,0.3588013,0.188379682,0,0,0.00230712,0.089986491,0.222477082,0,0,0.019960606,0,0.242494351,1,13.55274839,10.94408886,12.3033434,7.283448229
Adair,1860,7662,37690,62523,984,116,0.057926829,0,57,0,1.021098609,0.065160021,0.000175935,0.376469459,0.01714569,0,0,0.007725157,0.034355357,9.60E-05,0,0.001695376,0.055323641,0.291252819,0,0,11.04328977,8.944028325,10.53715009,4.753590191
Adair,1860,49908,380652,463293,9509,695,0.000946472,0.168471974,9,0,-0.363024172,0.06497616,0.002311712,0.410267369,0.017755502,0.149076286,0,0.006011315,0.009009417,0.01693097,0,4.32E-06,0.020162187,0.014975404,0,1,13.04611496,10.81793659,12.84964085,6.543911846
Adair,1860,62139,321564,445797,8531,628,0.026843277,0.010080881,229,0,-0.172039033,0.015699971,0.001552276,0.510281586,0.008840347,0.017030173,0.037685314,0.010204196,0.018503938,0.000493498,0.000769408,0.005394832,0.049675076,0.109285168,0,1,13.00761897,11.03712909,12.68095187,6.442540166
Adair,1870,63027.9375,251687.5625,152550.75,3982,636,0.076343546,0,304,1,1.021098609,0.453820909,0.000474924,0.683754882,0.105505217,0,0,0.025785635,0.060658895,0.000749324,0.002434927,0.001217306,0.134714244,0.253477613,0,0,11.93525261,11.05133336,12.43594377,6.455198563
Adair,1870,16237.375,359441.5,427979.75,11065,1578,0.000632625,0.168471974,7,1,-0.363024172,0.109052075,0.000876513,0.422182218,0.080662975,0.279152238,0,0.010972402,0.028375931,0.025166845,0,0,0.096131382,0.049328152,0.168471974,1,12.96683116,9.695070963,12.79230672,7.363913501
Adair,1870,110414.5625,503287.8125,552824.9375,11448,1508,0.032844165,0.010080881,376,1,-0.172039033,0.088382844,0.015797849,0.334960649,0.163989997,0.001497572,0,0.01946147,0.049017311,0.000250459,0.002393977,0.003052049,0.129366684,0.300304922,0.010080881,1,13.22279666,11.61199731,13.12891748,7.318539549
